sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
R2_20190424_5_1556278596,R2_20190424,42.94191709602636,299.9625076108549,0.077671390411841,0.09127553590674903,0.00022578608176688461,24.263599164975513,1.921566794571561e-08,8.843459113848168,0.9687556411510236,False,False,True
R2_20190424_6_1556284387,R2_20190424,21.36371224525183,299.57048347045,0.29289415558439946,0.0005020687454697547,0.2979236260285552,,,,,False,False,False
R2_20190424_7_1556289966,R2_20190424,22.158832359796506,299.5961697942491,0.28048617061740144,0.0036831739509380493,0.29868310601607645,,,,,False,False,False
R2_20190424_8_1556295257,R2_20190424,23.40850104994692,299.68003008031377,0.2972107303721704,0.001271124441074935,0.29771865767057204,,,,,False,False,False
R0_20190424_0_1556152439,R0_20190424,83.33586407240112,229.9631574122957,0.0006175588114806403,0.12314321899555664,0.0012496140550981426,18.93518294423845,7.146923799439264e-07,4.059026355343631,0.91427445106818,False,False,True
R0_20190424_1_1556153961,R0_20190424,94.06632330242893,224.5853069751894,0.0016341814313375626,0.13864680639209387,2.5199925218847077e-05,18.663013747085074,4.102411965689612e-08,1.0754607679806112,0.7905967102303558,False,False,True
R0_20190424_2_1556155545,R0_20190424,90.90031766466464,243.898345045062,0.0012796982116512299,0.14727654249174946,0.020704630614119087,21.501295561890565,0.08838018833847994,22.369050112811017,0.9876119125940829,False,False,True
R0_20190424_3_1556156857,R0_20190424,118.0868092461369,235.33486576078505,0.00021105913076835262,0.16582446320754465,0.11985371644438654,20.163301042497107,0.08434795501790882,19.490858078866978,0.9843542672618392,False,False,True
R0_20190424_4_1556162906,R0_20190424,20.425450804894282,299.6760734489827,0.07688941801252437,0.010329123949357597,0.003296758669100628,25.50486634511974,0.06608790375559215,3.0501233290631022,0.8648338399570342,False,False,True
R0_20190424_5_1556168663,R0_20190424,21.503458055644323,248.61428965707034,0.0020746623566884927,0.043636403327821136,0.2994503265895399,21.945529257192216,0.7142857139446637,10.599474690430815,0.9719232904184856,False,False,True
R0_20190424_6_1556174466,R0_20190424,21.28860257929742,250.9813380534927,0.0013037223377869631,0.03734129311208196,0.2969341478326635,,,,,False,False,False
